id,hari,tanggal,bulan,tahun,judul,kota,deteksi_kendaraan,model_kendaraan,kondisi
6609440,Kamis,9,3,2023.0,Kecelakaan Pj Bupati Aceh Timur: Kronologi hingga Kondisi Terkini,Jakarta,"mobil, truk",sedan,
6609439,Kamis,9,3,2023.0,Truk Muatan Minuman Ringan Terguling di Tanjakan Baeud Sukabumi,Sukabumi,truk,sedan,
6609128,Kamis,9,3,2023.0,Jalan Dekat Flyover Kranji Rusak Melulu Meski Sering Diperbaiki,Jakarta,"mobil, motor, truk",sedan,
6608519,Rabu,8,3,2023.0,Pj Bupati Aceh Timur Alami Kecelakaan Saat Ikuti Raker di Banda Aceh,Pidie Jaya,"mobil, truk, bus",sedan,
6608529,Rabu,8,3,2023.0,Tanggapan Turis Rusia Rekannya Banyak Berulah di Bali,Badung,motor,,
6608236,Rabu,8,3,2023.0,"Ikuti Google Maps, Truk Terguling di Jalur Cinomati Bantul",Bantul,truk,,
6608030,Rabu,8,3,2023.0,Mobil Tabrak Tembok Warung di Pandanlor Karanganyar Sampai Jebol,Karanganyar,mobil,sedan,
6607213,Rabu,8,3,2023.0,"Viral Polisi Kawal Moge Terobos Lampu Merah di Bali, Polda: Nggak Apa-apa",Denpasar,"motor, truk",sedan,
6606862,Rabu,8,3,2023.0,Tragis! Bapak-Anak Cirebon Tewas Ditabrak Truk Saat Mau ke Sekolah,Cirebon,"motor, truk, bus",sedan,tewas
6605502,Rabu,8,3,2023.0,Rambu Jalan di Jalur Cikidang Sukabumi Dikeluhkan Warga,Sukabumi,bus,,tewas
6605448,Selasa,7,3,2023.0,Korban Kecelakaan Beruntun Probolinggo Dievakuasi ke Puskesmas dan 2 RS,Probolinggo,"mobil, truk, bus",sedan,
6605358,Selasa,7,3,2023.0,Saksi Ungkap Detik-detik Mengerikan Bus Turun dari Bromo-Tabrak 5 Kendaraan,Probolinggo,"motor, truk, bus",pikap,
6605323,Selasa,7,3,2023.0,Bus Ngeblong yang Picu Kecelakaan Beruntun di Probolinggo Pulang dari Bromo,Probolinggo,"truk, bus",sedan,
6605231,Selasa,7,3,2023.0,"Bus Ngeblong Tabrak 6 Kendaraan di Pasar Lumbang Probolinggo, Lalin Macet 1 KM",Probolinggo,"mobil, motor, truk, bus",pikap,
6604881,Selasa,7,3,2023.0,Polisi Singgung WNA Berkendara Telanjang Dada: Pakai Kaus Lah!,Denpasar,motor,sedan,selamat
6604814,Selasa,7,3,2023.0,"Tabrakan Mobil BMW Vs Satria FU di Medan, 2 Tewas",Medan,"mobil, motor",angkot,tewas
6604558,Selasa,7,3,2023.0,Janji BBPJN Tangani Jalan Makassar-Maros yang 17 Tahun Rusak Tanpa Perbaikan,Makassar,truk,,
6604361,Senin,6,3,2023.0,"Marak Balap Liar, Polisi Minta Pemkot Surabaya Tambah Kamera ETLE",Surabaya,"motor, truk",,
